Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
8,2007,,118.9,105.6,97.224999999999994,189.154,207.917,211.11099999999999,10.432,138.02799999999999,4.3,4.6,9642,5476,28874,151148,1813.7,891.8,1866,2.7,2.8,5976.7,7983.3,8718.4,10431.5,15481.2,$2007.83,$3953.61,994.1,327.0
9,2007,,121,99.5,97.600999999999999,189.589,208.49,211.62799999999999,10.45,138.11600000000001,4.3,4.7,7575,3534,20488,145475,1582.8,786.2,1627.7,2.7,2.9,5977.4,7965.2,8722.2000000000007,10449.6,15476.9,$2119.77,$3609.24,1041.9,367.9
10,2007,,127.7,95.2,97.882999999999996,190.28899999999999,208.93600000000001,212.31800000000001,10.481999999999999,138.20099999999999,4.3,4.7,7960,4496,21132,142247,1900.6,792.9,1660.9,2.7,3,5976.5,7947.1,8748.4,10482.200000000001,15461.5,$2427.43,$3396.69,958.8,322.3
11,2007,,122.56,87.8,98.373000000000005,191.02500000000001,210.17699999999999,212.435,10.505000000000001,138.316,4.3,4.7,6516,5064,19847,143518,1307.3,945.9,1900.8,2.9,3.3,5984,7942,8760.9,10505.4,15464.3,$2566.51,$4035.04,1025.7,371.5
12,2007,,119.5,90.6,98.638000000000005,191.50899999999999,210.036,212.35599999999999,10.529,138.41300000000001,4.3,5,5661,5416,19310,146159,1223.7,971.7,1838.7,2.9,3.3,5985.2,7931.8,8768.2999999999993,10528.5,15472.5,$2480.04,$4322.36,965.8,342.4
1,2008,,125.3,87.3,98.894000000000005,192.125,211.08,213.13800000000001,10.564,138.43199999999999,4.3,5,6376,6744,15023,137649,8977.9,892.1,1865.2,2.9,3.3,5992.5,7896.2,8788.7999999999993,10563.6,15441,$2640.10,$4567.82,985.8,313.7
2,2008,,106.28,76.400000000000006,99.11,192.61799999999999,211.69300000000001,213.86600000000001,10.593999999999999,138.346,4.3,4.9,7154,3279,18552,141366,1891.7,855.5,1805.1,2.9,3.3,5988.2,7889.2,8794.7999999999993,10593.6,15444.4,$2534.70,$4649.66,954.2,343.2
3,2008,,97.48,65.900000000000006,99.415999999999997,193.904,213.52799999999999,214.86600000000001,10.586,138.268,4.4,5.1,7569,5264,21359,145572,1905.7,812.2,1652.8,3.1,3.8,5979.7,7861.3,8792.7000000000007,10585.6,15428.8,$2952.04,$4784.87,940.6,324.1
4,2008,,91.28,62.8,99.653999999999996,194.298,214.82300000000001,215.059,10.606,138.05799999999999,4.4,5,8489,4453,22593,145572,1671,800.8,1713.8,3.4,4,5978.5,7808.2,8810.6,10605.7,15441,$3148.31,$5734.89,1010.4,281.1
5,2008,,82.64,58.1,100.09099999999999,196.37100000000001,216.63200000000001,215.18,10.614000000000001,137.87299999999999,4.5,5.4,7577,3978,24980,149290,1890.8,894.4,1877.5,3.7,4.4,5974.3,7773.3,8799.5,10613.7,15412,$3570.03,$5901.94,975.8,343.1
